extraction_date,source,extraction_method,id,title,subtitle,url,price_text,price,previous_price_text,previous_price,surface_text,surface,discount_text,discount,is_discounted,exclusive,best_offer,country,ad_type,agency_id,rooms,bathrooms,images_count,main_image,property_id,location,_id,created_date,_rev
2025-06-30T13:31:13.791299,tecnocasa.tn,json,45233,Terrain habitation ind. en vente,"M'Saken, terrain rue krousseya",https://www.tecnocasa.tn/vendre/terrain/sousse/m-saken/45233.html,167 000 DT,167000,160 000 DT,160000.0,372 m²,372.0,-7 000 DT,7000.0,False,False,False,tn,estate,ssca7,,,1,https://cdn-media.medialabtc.it/tn/agencies/ssca7/estates/45233/images/203531/card.jpeg,aacecb6f8761,"M'Saken, terrain rue krousseya",aacecb6f8761,2025-06-30T13:31:13.796264,1-824d7169b75423935b320e0e5e38348a
2025-06-30T13:31:13.791596,tecnocasa.tn,json,55848,Terrain habitation ind. en vente,Kalâa Seghira - El Kaala Essagira,https://www.tecnocasa.tn/vendre/terrain/sousse/kalaa-seghira/55848.html,160 000 DT,160000,,,255 m²,255.0,,,False,False,False,tn,estate,sscb1,,,1,https://cdn-media.medialabtc.it/tn/agencies/sscb1/estates/55848/images/296063/card.jpeg,f0521f74f181,Kalâa Seghira - El Kaala Essagira,f0521f74f181,2025-06-30T13:31:13.802544,1-65d5ff3cb482cfc59cd56e11312f8cc4
2025-06-30T13:31:13.791616,tecnocasa.tn,json,55563,Terrain habitation ind. en vente,"Sousse Centre Ville, Hamed ghazeli - Bouhsina",https://www.tecnocasa.tn/vendre/terrain/sousse/sousse-centre-ville/55563.html,250 000 DT,250000,,,391 m²,391.0,,,False,False,False,tn,estate,ssca3,,,1,https://cdn-media.medialabtc.it/tn/agencies/ssca3/estates/55563/images/295909/card.jpeg,d73d6d0e1ad8,"Sousse Centre Ville, Hamed ghazeli - Bouhsina",d73d6d0e1ad8,2025-06-30T13:31:13.808492,1-54bcec2316e91b2182cc7a5ebf1b9e37
2025-06-30T13:31:13.791629,tecnocasa.tn,json,55683,Terrain habitation ind. en vente,"Sousse Centre Ville, Hamed el ghazeli - Bouhsina",https://www.tecnocasa.tn/vendre/terrain/sousse/sousse-centre-ville/55683.html,138 000 DT,138000,,,212 m²,212.0,,,False,False,False,tn,estate,ssca3,,,1,https://cdn-media.medialabtc.it/tn/agencies/ssca3/estates/55683/images/295951/card.jpeg,9e73985303b6,"Sousse Centre Ville, Hamed el ghazeli - Bouhsina",9e73985303b6,2025-06-30T13:31:13.813773,1-ba384f41790fee901a7bd9f3c34254f6
2025-06-30T13:31:13.791638,tecnocasa.tn,json,55686,Terrain habitation ind. en vente,"Sousse Centre Ville, Hamed El Ghazeli - Bouhsina",https://www.tecnocasa.tn/vendre/terrain/sousse/sousse-centre-ville/55686.html,196 000 DT,196000,,,262 m²,262.0,,,False,False,False,tn,estate,ssca3,,,1,https://cdn-media.medialabtc.it/tn/agencies/ssca3/estates/55686/images/295950/card.jpeg,86f596c23dde,"Sousse Centre Ville, Hamed El Ghazeli - Bouhsina",86f596c23dde,2025-06-30T13:31:13.818486,1-f3877184ca39735e200ea0aed78ad129
2025-06-30T13:31:13.791646,tecnocasa.tn,json,55822,Terrain habitation ind. en vente,"Sousse Centre Ville, Boukhzar sousse - Bouhsina",https://www.tecnocasa.tn/vendre/terrain/sousse/sousse-centre-ville/55822.html,185 000 DT,185000,,,320 m²,320.0,,,False,False,False,tn,estate,ssca3,,,1,https://cdn-media.medialabtc.it/tn/agencies/ssca3/estates/55822/images/295745/card.jpeg,8f206307e2de,"Sousse Centre Ville, Boukhzar sousse - Bouhsina",8f206307e2de,2025-06-30T13:31:13.823303,1-8a24955aa074a76c9a36299994c10a3b
2025-06-30T13:31:13.791654,tecnocasa.tn,json,53008,Terrain habitation ind. en vente,"Hammam Sousse, Rue Azzaourek",https://www.tecnocasa.tn/vendre/terrain/sousse/hammam-sousse/53008.html,1 116 000 DT,1116000,,,744 m²,744.0,,,False,False,False,tn,estate,sscb3,,,1,https://cdn-media.medialabtc.it/tn/agencies/sscb3/estates/53008/images/269450/card.jpeg,8d297d7961ff,"Hammam Sousse, Rue Azzaourek",8d297d7961ff,2025-06-30T13:31:13.828262,1-24f4f80956a551e32afac82f4b676f63
2025-06-30T13:31:13.791663,tecnocasa.tn,json,43392,Terrain habitation ind. en vente,"Sousse Centre Ville, Cité olympique - Bouhsina",https://www.tecnocasa.tn/vendre/terrain/sousse/sousse-centre-ville/43392.html,310 000 DT,310000,321 000 DT,321000.0,459 m²,459.0,11 000 DT,11000.0,False,False,False,tn,estate,ssca3,,,1,https://cdn-media.medialabtc.it/tn/agencies/ssca3/estates/43392/images/295282/card.jpeg,474dc6172c30,"Sousse Centre Ville, Cité olympique - Bouhsina",474dc6172c30,2025-06-30T13:31:13.833493,1-50cdea8ee19259b0a5d3f2bb5fa39239
2025-06-30T13:31:13.791674,tecnocasa.tn,json,55397,Terrain habitation ind. en vente,"Sousse Centre Ville, Cité olympique - Bouhsina",https://www.tecnocasa.tn/vendre/terrain/sousse/sousse-centre-ville/55397.html,237 000 DT,237000,,,304 m²,304.0,,,False,False,False,tn,estate,ssca3,,,1,https://cdn-media.medialabtc.it/tn/agencies/ssca3/estates/55397/images/295263/card.jpeg,5d16c3239ccc,"Sousse Centre Ville, Cité olympique - Bouhsina",5d16c3239ccc,2025-06-30T13:31:13.841061,1-e807fa1bb11ef008d82b5dfe9176946e
2025-06-30T13:31:13.791683,tecnocasa.tn,json,48067,Terrain habitation ind. en vente,"Sousse Centre Ville, Rue Farabi - Bouhsina",https://www.tecnocasa.tn/vendre/terrain/sousse/sousse-centre-ville/48067.html,247 000 DT,247000,265 000 DT,265000.0,353 m²,353.0,18 000 DT,18000.0,True,False,False,tn,estate,ssca3,,,1,https://cdn-media.medialabtc.it/tn/agencies/ssca3/estates/48067/images/243452/card.jpeg,02d2c6b45e40,"Sousse Centre Ville, Rue Farabi - Bouhsina",02d2c6b45e40,2025-06-30T13:31:13.846207,1-eea559f29bfcbcb03d2f1c9f5d8bb17f
2025-06-30T13:31:13.791695,tecnocasa.tn,json,54114,Terrain habitation ind. en vente,Sousse Centre Ville - Bouhsina,https://www.tecnocasa.tn/vendre/terrain/sousse/sousse-centre-ville/54114.html,435 000 DT,435000,455 000 DT,455000.0,414 m²,414.0,20 000 DT,20000.0,True,False,False,tn,estate,ssca3,,,1,https://cdn-media.medialabtc.it/tn/agencies/ssca3/estates/54114/images/281909/card.jpeg,5efa5b650e6d,Sousse Centre Ville - Bouhsina,5efa5b650e6d,2025-06-30T13:31:13.851199,1-6ea481f06c137d079e6631a10fcccf96
2025-06-30T13:31:13.791710,tecnocasa.tn,json,52625,Terrain habitation collective en vente,"Sousse Riadh, Avenue imam abou hannifa - Cité Riadh",https://www.tecnocasa.tn/vendre/terrain/sousse/sousse-riadh/52625.html,401 000 DT,401000,,,501 m²,501.0,,,False,False,False,tn,estate,ssca4,,,1,https://cdn-media.medialabtc.it/tn/agencies/ssca4/estates/52625/images/266889/card.jpeg,e9c271067754,"Sousse Riadh, Avenue imam abou hannifa - Cité Riadh",e9c271067754,2025-06-30T13:31:13.856209,1-5d83990429313fbcd1d40e08d2a31f64
2025-06-30T13:31:13.791717,tecnocasa.tn,json,55601,Terrain habitation ind. en vente,"M'Saken, Cité Ennour",https://www.tecnocasa.tn/vendre/terrain/sousse/m-saken/55601.html,271 000 DT,271000,,,417 m²,417.0,,,False,False,False,tn,estate,ssca7,,,1,https://cdn-media.medialabtc.it/tn/agencies/ssca7/estates/55601/images/293788/card.jpeg,f2eeedb13cd6,"M'Saken, Cité Ennour",f2eeedb13cd6,2025-06-30T13:31:13.861347,1-193f8ad231c036d4cb16c86acc6b3780
2025-06-30T13:31:13.791725,tecnocasa.tn,json,55281,Terrain habitation ind. en vente,Sousse Centre Ville - Bouhsina,https://www.tecnocasa.tn/vendre/terrain/sousse/sousse-centre-ville/55281.html,440 000 DT,440000,,,553 m²,553.0,,,False,False,False,tn,estate,ssca3,,,1,https://cdn-media.medialabtc.it/tn/agencies/ssca3/estates/55281/images/291140/card.jpeg,c1048b1f80ea,Sousse Centre Ville - Bouhsina,c1048b1f80ea,2025-06-30T13:31:13.866643,1-85e5826754af7dcb255030565a73f808
2025-06-30T13:31:13.791732,tecnocasa.tn,json,55436,Terrain habitation ind. en vente,"Hergla, Rue nozha",https://www.tecnocasa.tn/vendre/terrain/sousse/hergla/55436.html,220 000 DT,220000,,,399 m²,399.0,,,False,False,False,tn,estate,ssgh1,,,1,https://cdn-media.medialabtc.it/tn/agencies/ssgh1/estates/55436/images/292643/card.jpeg,63bef22993b5,"Hergla, Rue nozha",63bef22993b5,2025-06-30T13:31:13.871018,1-ac32cf4476283c352cda324d83d8f2e3
